category,priority,year,month,latitude,longitude,district
COMPLAINT OTHER,1,2018,10,29.99554534,-90.06014644,3
COMPLAINT OTHER,1,2018,10,30.00973449,-90.02090137,3
RETURN FOR ADDITIONAL INFO,1,2018,10,29.95926043,-90.06984257,1
"BURGLAR ALARM, SILENT",2,2018,10,29.92946637,-90.09863261,6
DISTURBANCE (OTHER),1,2018,10,29.94571429,-90.09090191,6
COMPLAINT OTHER,1,2018,10,29.9532761,-90.06900885,8
DIRECTED PATROL,1,2018,10,29.96289332,-90.05200555,5
COMPLAINT OTHER,1,2018,10,29.98082351,-90.08158701,1
COMPLAINT OTHER,1,2018,10,29.97086507,-90.03383792,5
SILENT 911 CALL,2,2018,10,29.95163318,-90.06986923,8
"BURGLAR ALARM, LOCAL",2,2018,10,29.99517416,-90.04825694,3
TRAFFIC INCIDENT,1,2018,10,29.95945859,-90.1116173,2
DISTURBANCE (OTHER),1,2018,10,29.96799395,-90.08099244,1
AUTO ACCIDENT WITH INJURY,2,2018,10,30.03717165,-89.99324079,7
TRAFFIC INCIDENT,1,2018,10,29.93464264,-90.09840603,6
THEFT,1,2018,10,29.93140422,-90.02170828,4
BUSINESS CHECK,1,2018,10,29.96848511,-90.05606857,5
COMPLAINT OTHER,2,2018,10,30.03272282,-89.95686229,7
"BURGLAR ALARM, SILENT",2,2018,10,29.92117058,-90.12085798,2
SHOPLIFTING,1,2018,10,29.97654141,-90.09677923,1
COMPLAINT OTHER,1,2018,10,30.05010295,-89.9531847,7
TRAFFIC INCIDENT,1,2018,10,29.95729379,-90.12247046,2
RETURN FOR ADDITIONAL INFO,1,2018,10,29.99554534,-90.06014644,3
TRAFFIC INCIDENT,1,2018,10,29.9409401,-90.1089657,2
DIRECTED PATROL,1,2018,10,29.96387915,-90.05169918,5
AREA CHECK,1,2018,10,30.00499949,-90.11252893,3
COMPLAINT OTHER,1,2018,10,29.99520466,-90.07923394,3
DISTURBANCE (OTHER),1,2018,10,29.94422693,-90.09366919,6
TROOP N AREA - BUSINESS - RESIDENCE CHECK,1,2018,10,29.95953403,-90.06329186,8
COMPLAINT OTHER,1,2018,10,30.00181374,-90.10273679,3
TRAFFIC INCIDENT,1,2018,10,29.94311105,-90.13433858,2
HIT & RUN,1,2018,10,29.95136975,-90.10054649,6
EXTORTION (THREATS),1,2018,10,30.04875185,-89.96260431,7
DISTURBANCE (OTHER),2,2018,10,30.03414756,-89.92030106,7
TRAFFIC INCIDENT,1,2018,10,29.94420126,-90.08647578,6
WARR STOP WITH RELEASE,0,2018,10,29.95585656,-90.12069334,2
RECOVERY OF REPORTED STOLEN VEHICLE,1,2018,10,29.92599234,-90.06792551,6
FUGITIVE ATTACHMENT,1,2018,10,29.95585656,-90.12069334,2
RECOVERY OF REPORTED STOLEN VEHICLE,1,2018,10,29.98078425,-90.06587235,5
FUGITIVE ATTACHMENT,1,2018,10,29.95585656,-90.12069334,2
FUGITIVE ATTACHMENT,1,2018,10,29.95585656,-90.12069334,2
BUSINESS CHECK,1,2018,10,29.97525546,-90.09007114,1
BUSINESS CHECK,1,2018,10,29.97525546,-90.09007114,1
HIT & RUN,1,2018,10,30.06414211,-89.93986418,7
AUTO ACCIDENT,1,2018,10,29.97733539,-90.06718578,5
HIT & RUN,1,2018,10,30.01271747,-89.97714499,7
COMPLAINT OTHER,1,2018,10,29.96747239,-90.09580203,1
COMPLAINT OTHER,1,2018,10,30.03785133,-89.99669549,7
DIRECTED PATROL,1,2018,10,29.96559204,-90.03541993,5
COMPLAINT OTHER,1,2018,10,29.94983828,-90.03189416,4
DISTURBANCE (OTHER),1,2018,10,29.96869015,-90.09269762,1
COMPLAINT OTHER,1,2018,10,29.93134708,-90.04138246,4
TRAFFIC INCIDENT,1,2018,10,29.95581144,-90.07273599,1
DISTURBANCE (OTHER),2,2018,10,29.95162755,-90.07614126,8
WARR STOP WITH RELEASE,0,2018,10,29.95729379,-90.12247046,2
WARR STOP WITH RELEASE,0,2018,10,29.95729379,-90.12247046,2
TRAFFIC INCIDENT,1,2018,10,29.96255351,-90.10671432,2
SIMPLE BURGLARY,1,2018,10,29.981014,-90.06234863,5
SIMPLE BURGLARY VEHICLE,1,2018,10,29.93799543,-90.08021196,6
RECOVERY OF VEHICLE,1,2018,10,30.00910738,-89.98998404,7
DOMESTIC DISTURBANCE,2,2018,10,30.04262038,-89.99196241,7
RETURN FOR ADDITIONAL INFO,1,2018,10,29.9801492,-90.05019911,5
DOMESTIC DISTURBANCE,1,2018,10,29.95905995,-90.0753727,1
"BURGLAR ALARM, SILENT, FAR NO RESPONSE",0,2018,10,30.06145248,-89.95100817,7
RETURN FOR ADDITIONAL INFO,1,2018,10,29.96255351,-90.10671432,2
AREA CHECK,1,2018,10,30.01148431,-90.11281969,3
AREA CHECK,1,2018,10,29.9696428,-90.0874115,1
SILENT 911 CALL,1,2018,10,30.02527804,-90.02673881,3
THEFT BY FRAUD,1,2018,10,29.94164036,-90.12901458,2
FUGITIVE ATTACHMENT,1,2018,10,30.04516086,-89.99291047,7
COMPLAINT OTHER,1,2018,10,30.05398005,-89.9742463,7
HIT & RUN,1,2018,10,29.96703503,-90.08973599,1
COMPLAINT OTHER,1,2018,10,29.99519149,-90.06027417,3
COMPLAINT OTHER,1,2018,10,29.96180889,-90.0907767,1
COMPLAINT OTHER,1,2018,10,29.96180889,-90.0907767,1
TRAFFIC INCIDENT,1,2018,10,29.94350064,-90.09723779,6
MENTAL PATIENT,1,2018,10,0,0,7
RETURN FOR ADDITIONAL INFO,1,2018,10,29.98047797,-90.06351358,5
THEFT,1,2018,10,29.95841934,-90.06116612,8
DISTURBANCE (OTHER),1,2018,10,29.9737999,-90.0800838,1
MUNICIPAL ATTACHMENT,1,2018,10,29.96026084,-90.09482562,1
MUNICIPAL ATTACHMENT,1,2018,10,29.96026084,-90.09482562,1
SIMPLE BATTERY,1,2018,10,29.94640527,-90.10248736,2
COMPLAINT OTHER,1,2018,10,29.95561867,-90.06820318,8
COMPLAINT OTHER,1,2018,10,30.02596545,-90.02447478,3
DOMESTIC DISTURBANCE,1,2018,10,29.95815167,-90.07263062,1
COMPLAINT OTHER,1,2018,10,29.94650012,-90.09200176,6
TRAFFIC INCIDENT,1,2018,10,29.96913198,-90.05027817,5
DISTURBANCE (OTHER),1,2018,10,29.95818348,-90.06478965,8
DRUG VIOLATIONS,1,2018,10,29.95966219,-90.11346123,2
TRAFFIC INCIDENT,1,2018,10,29.97040403,-90.11601213,2
COMPLAINT OTHER,1,2018,10,29.96879013,-90.08422054,1
AREA CHECK,1,2018,10,29.96940385,-90.08896564,1
FIRE,1,2018,10,29.9425247,-90.10148791,2
COMPLAINT OTHER,1,2018,10,29.96867313,-90.11938968,2
RETURN FOR ADDITIONAL INFO,1,2018,10,29.95984655,-90.0927507,1
"BURGLAR ALARM, SILENT",2,2018,10,30.01644444,-90.11096424,3
TRAFFIC INCIDENT,1,2018,10,29.94785396,-90.06326646,8
SIMPLE BATTERY,1,2018,10,29.92176386,-90.01186281,4
AREA CHECK,1,2018,10,29.93620129,-90.07392267,6
TRAFFIC INCIDENT,1,2018,10,29.99512689,-90.10933034,3
DIRECTED TRAFFIC ENFORCEMENT,1,2018,10,29.9717451,-90.04380076,5
AUTO ACCIDENT,1,2018,10,30.01254903,-90.06013776,3
SIMPLE BATTERY DOMESTIC,2,2018,10,30.02960108,-90.01215644,7
RECOVERY OF REPORTED STOLEN VEHICLE,1,2018,10,29.96851738,-90.054959,5
COMPLAINT OTHER,1,2018,10,29.94190178,-90.07886007,6
AREA CHECK,1,2018,10,30.00082936,-90.10621576,3
COMPLAINT OTHER,1,2018,10,29.94125482,-90.07955187,6
WARR STOP WITH RELEASE,0,2018,10,29.97040403,-90.11601213,2
COMPLAINT OTHER,1,2018,10,29.93360072,-90.03958665,4
COMPLAINT OTHER,1,2018,10,29.95926043,-90.06984257,1
AREA CHECK,1,2018,10,29.95475488,-90.06902034,8
MUNICIPAL ATTACHMENT,1,2018,10,29.96026084,-90.09482562,1
RETURN FOR ADDITIONAL INFO,1,2018,10,29.93800691,-90.07967845,6
AREA CHECK,1,2018,10,29.94598704,-90.0908312,6
COMPLAINT OTHER,1,2018,10,29.97207133,-90.12125485,3
COMPLAINT OTHER,1,2018,10,29.99475992,-90.05956514,3
DRUG VIOLATIONS,1,2018,10,29.94497666,-90.10145998,2
RETURN FOR ADDITIONAL INFO,1,2018,10,29.98061038,-90.06587106,5
COMPLAINT OTHER,1,2018,10,30.02756207,-90.09516355,3
DIRECTED TRAFFIC ENFORCEMENT,1,2018,10,29.97346047,-90.1142603,3
WARR STOP WITH RELEASE,0,2018,10,29.9409401,-90.1089657,2
MEDICAL,2,2018,10,0,0,6
AREA CHECK,1,2018,10,29.99223916,-90.11457985,3
COMPLAINT OTHER,1,2018,10,29.93196357,-90.08689135,6
HIT & RUN,1,2018,10,30.00290962,-90.03555891,3
TRAFFIC INCIDENT,1,2018,10,29.95698579,-90.07446366,1
COMPLAINT OTHER,1,2018,10,29.94983828,-90.03189416,4
AREA CHECK,1,2018,10,29.98880433,-90.11102115,3
COMPLAINT OTHER,1,2018,10,29.92258854,-90.01005162,4
COMPLAINT OTHER,1,2018,10,29.94983828,-90.03189416,4
TRAFFIC INCIDENT,1,2018,10,29.9423273,-90.10241105,2
DOMESTIC DISTURBANCE,2,2018,10,30.03243309,-90.02441197,7
TRAFFIC INCIDENT,1,2018,10,29.98936539,-90.04911018,3
RETURN FOR ADDITIONAL INFO,1,2018,10,29.94132428,-90.08009571,6
RETURN FOR ADDITIONAL INFO,1,2018,10,29.9442443,-90.1016179,2
MUNICIPAL ATTACHMENT,1,2018,10,29.9442443,-90.1016179,2
MUNICIPAL ATTACHMENT,1,2018,10,29.9442443,-90.1016179,2
AREA CHECK,1,2018,10,29.96733149,-90.09827678,1
MENTAL PATIENT,2,2018,10,0,0,7
TRAFFIC INCIDENT,1,2018,10,29.92897544,-90.07773752,6
MENTAL PATIENT,2,2018,10,0,0,3
MEDICAL - NALOXONE,1,2018,10,0,0,5
BUSINESS CHECK,1,2018,10,29.9163153,-90.1173786,2
HIT & RUN,1,2018,10,30.01948396,-90.01795116,7
COMPLAINT OTHER,1,2018,10,29.99113433,-90.10424053,3
COMPLAINT OTHER,1,2018,10,29.96464849,-90.06965517,1
COMPLAINT OTHER,1,2018,10,29.91769407,-90.02304781,4
WARR STOP WITH RELEASE,0,2018,10,29.96266949,-90.10663494,6
AREA CHECK,1,2018,10,30.02340759,-89.95941906,7
WARR STOP WITH RELEASE,0,2018,10,29.9423273,-90.10241105,2
MUNICIPAL ATTACHMENT,1,2018,10,29.97654141,-90.09677923,1
RETURN FOR ADDITIONAL INFO,1,2018,10,29.99520466,-90.07923394,3
"BURGLAR ALARM, SILENT",1,2018,10,29.98112607,-90.07455019,1
"BURGLAR ALARM, SILENT",1,2018,10,30.04207923,-89.99509997,7
AREA CHECK,1,2018,10,29.97692477,-90.09818318,3
BUSINESS CHECK,1,2018,10,29.94839146,-90.08573737,6
SIMPLE BURGLARY VEHICLE,1,2018,10,29.97392006,-90.08230521,1
MENTAL PATIENT,1,2018,10,0,0,1
BUSINESS CHECK,1,2018,10,29.9434776,-90.07309088,6
COMPLAINT OTHER,1,2018,10,29.97224698,-90.08373626,1
COMPLAINT OTHER,1,2018,10,29.95911837,-90.07805934,1
AREA CHECK,1,2018,10,29.92419166,-90.07750168,6
RETURN FOR ADDITIONAL INFO,1,2018,10,29.93106488,-90.01918155,4
DISTURBANCE (OTHER),1,2018,10,29.96788444,-90.09058527,1
RESIDENCE BURGLARY,1,2018,10,29.94179759,-90.02334712,4
HIT & RUN,1,2018,10,29.90770369,-90.01822401,4
TRAFFIC INCIDENT,1,2018,10,29.93834138,-90.096389,2
AUTO THEFT,0,2018,10,29.97545762,-90.06041405,5
HOLD UP ALARM,2,2018,10,30.00654843,-90.11265135,3
COMPLAINT OTHER,1,2018,10,29.94953062,-90.06937053,8
BUSINESS CHECK,1,2018,10,29.96522069,-90.03094773,5
AREA CHECK,1,2018,10,29.92958364,-90.07679964,6
SUSPICIOUS PERSON,1,2018,10,30.04607672,-89.96455291,7
MISSING JUVENILE,1,2018,10,0,0,7
SUSPICIOUS PERSON,1,2018,10,29.91909143,-90.00391916,4
"OBSCENITY, EXPOSING",2,2018,10,29.94523439,-90.06529938,8
SIMPLE CRIMINAL DAMAGE,0,2018,10,29.95803273,-90.07202376,1
THEFT BY FRAUD,0,2018,10,29.9418113,-90.06897418,8
TRAFFIC INCIDENT,1,2018,10,29.94517747,-90.09832048,6
COMPLAINT OTHER,1,2018,10,29.95262464,-90.06881484,8
"BURGLAR ALARM, SILENT",2,2018,10,29.99504675,-90.05148271,3
BUSINESS CHECK,1,2018,10,29.97201959,-90.05196887,5
TRAFFIC INCIDENT,1,2018,10,29.9444172,-90.08519126,6
"BURGLAR ALARM, SILENT",2,2018,10,29.99504675,-90.05148271,3
"BURGLAR ALARM, SILENT",2,2018,10,29.92921855,-90.07193008,6
TRAFFIC INCIDENT,1,2018,10,29.94236104,-90.11140325,2
DISTURBANCE (OTHER),1,2018,10,29.98118795,-90.06486144,5
COMPLAINT OTHER,1,2018,10,29.98182155,-90.09699459,3
DRUG VIOLATIONS,1,2018,10,29.94517747,-90.09832048,6
TRAFFIC INCIDENT,1,2018,10,29.95713155,-90.07271931,1
SIMPLE BURGLARY VEHICLE,1,2018,10,29.93800691,-90.07967845,6
FIGHT,2,2018,10,30.06934138,-89.94563552,7
COMPLAINT OTHER,1,2018,10,29.96065974,-90.09151266,1
TRAFFIC INCIDENT,1,2018,10,29.96913198,-90.05027817,5
RETURN FOR ADDITIONAL INFO,1,2018,10,29.94983828,-90.03189416,4
SEXUAL BATTERY,2,2018,10,0,0,1
AUTO THEFT,0,2018,10,29.94102951,-90.07181479,6
COMPLAINT OTHER,1,2018,10,29.93360072,-90.03958665,4
BUSINESS CHECK,1,2018,10,29.97748208,-90.09789278,3
AUTO THEFT,0,2018,10,29.93033235,-90.09779854,6
COMPLAINT OTHER,1,2018,10,29.98226427,-90.06815109,5
"BURGLAR ALARM, SILENT",2,2018,10,30.01813451,-90.05189539,3
DRUG VIOLATIONS,1,2018,10,29.94105716,-90.08404589,6
HIT & RUN WITH INJURIES,2,2018,10,29.95848976,-90.110221,2
AUTO ACCIDENT WITH INJURY,2,2018,10,29.94008912,-90.10331723,2
AREA CHECK,1,2018,10,29.96514325,-90.09811168,1
DRUG VIOLATIONS,1,2018,10,29.98026641,-90.066129,5
AREA CHECK,1,2018,10,30.01667606,-90.11217144,3
MENTAL PATIENT,2,2018,10,0,0,3
DRUG VIOLATIONS,1,2018,10,29.97037781,-90.02926567,5
TRAFFIC INCIDENT,1,2018,10,29.94311105,-90.13433858,2
COMPLAINT OTHER,1,2018,10,29.96201554,-90.07850106,1
COMPLAINT OTHER,1,2018,10,29.94236104,-90.11140325,2
AUTO ACCIDENT,1,2018,10,29.95557386,-90.07710875,8
COMPLAINT OTHER,1,2018,10,29.96798209,-90.07774124,1
THEFT BY FRAUD,1,2018,10,29.948917,-90.09827069,6
MUNICIPAL ATTACHMENT,1,2018,10,29.95713155,-90.07271931,1
AUTO ACCIDENT,1,2018,10,29.92258214,-90.09006039,6
WARR STOP WITH RELEASE,0,2018,10,29.96913198,-90.05027817,5
AREA CHECK,1,2018,10,29.96667185,-90.1021535,1
UNCLASSIFIED DEATH,1,2018,10,29.94414278,-90.08668976,6
DISTURBANCE (OTHER),1,2018,10,29.92152639,-90.01369888,4
WARR STOP WITH RELEASE,0,2018,10,29.94236104,-90.11140325,2
COMPLAINT OTHER,1,2018,10,29.9866522,-90.05213846,3
COMPLAINT OTHER,1,2018,10,29.9444182,-90.065154,8
PROWLER,1,2018,10,29.96850016,-90.03832179,5
SUSPICIOUS PERSON,2,2018,10,0.0,0.0,0
LOST PROPERTY,0,2018,10,29.9625538,-90.09240276,1
AUTO ACCIDENT WITH INJURY,2,2018,10,29.96067739,-90.10189443,6
AUTO ACCIDENT,1,2018,10,30.01862414,-90.09664244,3
MUNICIPAL ATTACHMENT,1,2018,10,29.96084489,-90.0649532,8
WARR STOP WITH RELEASE,0,2018,10,29.96084489,-90.0649532,8
TRAFFIC INCIDENT,1,2018,10,29.96173197,-90.11440273,2
COMPLAINT OTHER,1,2018,10,30.01602604,-89.97852642,7
"BURGLAR ALARM, SILENT, FAR NO RESPONSE",0,2018,10,30.06135249,-89.94970446,7
TRAFFIC INCIDENT,1,2018,10,29.95382332,-90.11818154,2
RETURN FOR ADDITIONAL INFO,1,2018,10,29.96298308,-90.06600062,8
DIRECTED PATROL,1,2018,10,30.00527738,-90.03633042,3
AUTO ACCIDENT,1,2018,10,30.02120467,-90.07649294,3
COMPLAINT OTHER,1,2018,10,29.94523265,-90.0858451,6
TOW IMPOUNDED VEHICLE (PRIVATE),0,2018,10,30.0308905,-90.01838635,7
SUICIDE THREAT,1,2018,10,0,0,1
DRUG VIOLATIONS,1,2018,10,29.96084489,-90.0649532,8
AREA CHECK,1,2018,10,30.00411603,-90.10268056,3
AREA CHECK,1,2018,10,29.94816046,-90.09642847,6
MENTAL PATIENT,2,2018,10,0,0,5
AREA CHECK,1,2018,10,30.0285541,-89.98535102,7
COMPLAINT OTHER,1,2018,10,29.96719283,-90.0858436,1
TRAFFIC INCIDENT,1,2018,10,29.95729379,-90.12247046,2
SUSPICIOUS PERSON,2,2018,10,30.03983702,-89.99860844,7
AUTO ACCIDENT,1,2018,10,29.96646904,-90.11104051,2
THEFT,1,2018,10,29.94768064,-90.06270271,8
DISTURBANCE (OTHER),1,2018,10,29.96292302,-90.08935464,1
COMPLAINT OTHER,1,2018,10,29.95510472,-90.08268962,1
AUTO THEFT,0,2018,10,29.97097008,-90.10049275,1
COMPLAINT OTHER,1,2018,10,30.04355749,-89.96173256,7
BUSINESS CHECK,1,2018,10,29.96699301,-90.04021345,5
MEDICAL,2,2018,10,0,0,5
COMPLAINT OTHER,1,2018,10,29.95557611,-90.07052673,8
TRAFFIC INCIDENT,1,2018,10,29.94547579,-90.08663544,6
SUSPICIOUS PERSON,1,2018,10,29.9741324,-90.04210528,5
TRAFFIC INCIDENT,1,2018,10,30.00957612,-90.04193078,3
TRAFFIC INCIDENT,1,2018,10,29.94429946,-90.08513141,6
RETURN FOR ADDITIONAL INFO,1,2018,10,29.93992132,-90.10379723,2
SIMPLE BURGLARY,1,2018,10,29.97778251,-90.06242288,5
"BURGLAR ALARM, SILENT",1,2018,10,30.02411698,-89.92412063,7
COMPLAINT OTHER,1,2018,10,29.95674308,-90.07965248,8
COMPLAINT OTHER,1,2018,10,29.93382186,-90.09896865,6
WALKING BEAT,1,2018,10,29.92372938,-90.07828562,6
THEFT BY FRAUD,1,2018,10,30.00539512,-90.11233933,3
DISTURBANCE (OTHER),1,2018,10,29.9418002,-90.0733761,6
COMPLAINT OTHER,1,2018,10,29.97830994,-90.05318167,5
BUSINESS CHECK,1,2018,10,29.97525546,-90.09007114,1
DISTURBANCE (OTHER),1,2018,10,29.97801189,-90.06220721,5
TRAFFIC INCIDENT,1,2018,10,29.94697781,-90.07011341,8
MENTAL PATIENT,1,2018,10,0,0,7
WARR STOP WITH RELEASE,0,2018,10,30.00957612,-90.04193078,3
SIMPLE BURGLARY VEHICLE,1,2018,10,29.95985005,-90.09346564,1
AUTO ACCIDENT,1,2018,10,30.00558797,-90.0409932,3
QUALITY OF LIFE ISSUE,1,2018,10,30.0428995,-89.97942773,7
AUTO ACCIDENT WITH INJURY,1,2018,10,29.9247387,-90.01873217,4
TRAFFIC INCIDENT,1,2018,10,29.95066459,-90.07560792,8
TRAFFIC INCIDENT,1,2018,10,29.95050078,-90.09601367,6
RECKLESS DRIVING,1,2018,10,30.13821971,-89.8690284,7
DOMESTIC DISTURBANCE,1,2018,10,29.98966118,-90.06411293,3
"BURGLAR ALARM, SILENT",1,2018,10,30.02939997,-90.01794607,7
BICYCLE THEFT,0,2018,10,29.95173676,-90.07023859,8
DOMESTIC DISTURBANCE,1,2018,10,29.98061294,-90.06615782,5
COMPLAINT OTHER,1,2018,10,29.974728,-90.03576706,5
COMPLAINT OTHER,1,2018,10,29.95996145,-90.08998879,1
BUSINESS CHECK,1,2018,10,29.96921563,-90.05088619,5
RETURN FOR ADDITIONAL INFO,1,2018,10,30.04597178,-89.95937529,7
DOMESTIC DISTURBANCE,1,2018,10,29.92260884,-90.00981625,4
SIMPLE BATTERY,1,2018,10,30.0280992,-90.05412707,3
THEFT,0,2018,10,29.97682018,-90.07377948,1
WARR STOP WITH RELEASE,0,2018,10,29.94697781,-90.07011341,8
DISTURBANCE (OTHER),2,2018,10,29.9294145,-90.07684104,6
DEATH,1,2018,10,29.95901349,-90.0734452,1
SIMPLE BATTERY,1,2018,10,29.94599097,-90.08612041,6
COMPLAINT OTHER,1,2018,10,29.94132428,-90.08009571,6
COMPLAINT OTHER,2,2018,10,29.92736665,-90.06751722,6
HIT & RUN,1,2018,10,29.93204445,-90.09713166,6
SHOPLIFTING,2,2018,10,29.92103631,-90.11659894,2
AUTO THEFT,1,2018,10,29.97062974,-90.03445086,5
AUTO ACCIDENT WITH INJURY,1,2018,10,29.95586671,-90.0809767,1
RETURN FOR ADDITIONAL INFO,1,2018,10,29.96231012,-90.09277667,1
RECKLESS DRIVING,1,2018,10,30.07990645,-89.91998384,7
TOW IMPOUNDED VEHICLE (PRIVATE),0,2018,10,29.98091685,-90.06822387,5
DISTURBANCE (OTHER),1,2018,10,29.97062974,-90.03445086,5
SUSPICIOUS PERSON,2,2018,10,30.01905727,-90.09193678,3
COMPLAINT OTHER,1,2018,10,30.0428995,-89.97942773,7
"BURGLAR ALARM, SILENT",1,2018,10,29.97548315,-90.08826173,1
DISTURBANCE (OTHER),1,2018,10,30.07623897,-89.92280483,7
"BURGLAR ALARM, SILENT",1,2018,10,30.02611454,-90.05517514,3
TRAFFIC INCIDENT,1,2018,10,29.99887831,-90.06056822,3
THEFT,0,2018,10,30.02033415,-90.06841197,3
"BURGLAR ALARM, SILENT, FAR NO RESPONSE",0,2018,10,29.97664055,-90.08162037,1
DIRECTED PATROL,1,2018,10,30.01235336,-90.06045849,3
COMPLAINT OTHER,1,2018,10,29.92333256,-90.07139538,6
TRAFFIC INCIDENT,1,2018,10,30.0172211,-90.05134685,3
EXTORTION (THREATS),2,2018,10,29.96794211,-90.11334447,2
"BURGLAR ALARM, SILENT",1,2018,10,30.02554328,-89.97999844,7
RESIDENCE CHECK,1,2018,10,30.04295473,-89.97513419,7
DOMESTIC DISTURBANCE,2,2018,10,30.02733113,-90.02141292,7
DISTURBANCE (OTHER),1,2018,10,29.94469231,-90.07092087,8
AREA CHECK,1,2018,10,29.97181323,-90.09064862,1
DISTURBANCE (OTHER),1,2018,10,30.03140582,-89.92842406,7
DRUG VIOLATIONS,1,2018,10,29.93072797,-90.0190698,4
AREA CHECK,1,2018,10,29.93723353,-90.07869245,6
MEDICAL,2,2018,10,0,0,8
SUSPICIOUS PERSON,2,2018,10,30.06897262,-89.81554207,7
COMPLAINT OTHER,1,2018,10,30.03050706,-90.02635368,3
MEDICAL,2,2018,10,0,0,6
THEFT,0,2018,10,30.03128865,-89.98354037,7
COMPLAINT OTHER,2,2018,10,29.95328807,-90.0697885,8
DISTURBANCE (OTHER),1,2018,10,29.94248367,-90.0222089,4
AUTO ACCIDENT WITH INJURY,2,2018,10,29.98224624,-90.06617421,5
BUSINESS CHECK,1,2018,10,29.97666,-90.047191,5
AUTO ACCIDENT,1,2018,10,29.96089438,-90.10231182,6
SHOPLIFTING,0,2018,10,29.98487658,-90.10992315,3
MISSING ADULT,0,2018,10,29.95542795,-90.06687159,8
DOMESTIC DISTURBANCE,2,2018,10,30.0121326,-90.00356772,7
TROOP N AREA - BUSINESS - RESIDENCE CHECK,1,2018,10,29.95716729,-90.06997083,8
TRAFFIC INCIDENT,2,2018,10,29.99512689,-90.10933034,3
SIMPLE BURGLARY,1,2018,10,29.97130292,-90.05108069,5
SIMPLE BURGLARY,1,2018,10,30.02278147,-90.05335339,3
RETURN FOR ADDITIONAL INFO,1,2018,10,30.00540813,-90.07471359,3
RETURN FOR ADDITIONAL INFO,1,2018,10,30.00540813,-90.07471359,3
AREA CHECK,1,2018,10,29.93404501,-90.08479917,6
DISTURBANCE (OTHER),1,2018,10,29.93992132,-90.10379723,2
BICYCLE THEFT,0,2018,10,29.96104194,-90.06363237,8
DISTURBANCE (OTHER),2,2018,10,29.94331086,-90.09830115,6
PROWLER,2,2018,10,29.9375706,-90.08241352,6
DISTURBANCE (OTHER),1,2018,10,29.97046165,-90.10696299,3
TRAFFIC INCIDENT,1,2018,10,29.96606172,-90.07592148,1
AUTO THEFT,1,2018,10,29.96813338,-90.05548943,5
SUICIDE THREAT,2,2018,10,0,0,8
SIMPLE BATTERY,1,2018,10,29.9296918,-90.01860369,4
SIMPLE BURGLARY VEHICLE,1,2018,10,29.99118693,-90.05277887,3
AUTO ACCIDENT,1,2018,10,29.95674308,-90.07965248,8
COMPLAINT OTHER,1,2018,10,29.97919357,-90.11347708,3
DRUG VIOLATIONS,1,2018,10,29.94485705,-90.08597433,6
COMPLAINT OTHER,1,2018,10,30.02663949,-89.96612382,7
DIRECTED TRAFFIC ENFORCEMENT,1,2018,10,29.94986107,-90.1023398,2
COMPLAINT OTHER,1,2018,10,29.97062974,-90.03445086,5
AREA CHECK,1,2018,10,30.01829259,-90.10416553,3
MISSING ADULT,1,2018,10,29.93189511,-90.02695472,4
DISTURBANCE (OTHER),1,2018,10,30.03172488,-89.9273268,7
COMPLAINT OTHER,2,2018,10,29.96539393,-90.0141268,5
COMPLAINT OTHER,1,2018,10,30.03464295,-89.91671195,7
TRAFFIC INCIDENT,1,2018,10,29.98215913,-90.11079012,3
DIRECTED PATROL,1,2018,10,29.92060214,-90.02257559,4
"BURGLAR ALARM, SILENT",2,2018,10,30.03677583,-89.95151186,7
COMPLAINT OTHER,1,2018,10,29.94132428,-90.08009571,6
DRUG VIOLATIONS,1,2018,10,29.99887831,-90.06056822,3
TRAFFIC INCIDENT,1,2018,10,29.93917673,-90.08496144,6
DIRECTED TRAFFIC ENFORCEMENT,1,2018,10,29.9422869,-90.11151256,2
MEDICAL,2,2018,10,0,0,6
FIGHT,1,2018,10,29.93394237,-90.08701842,6
AUTO ACCIDENT,1,2018,10,29.98882793,-90.07853773,3
RETURN FOR ADDITIONAL INFO,1,2018,10,29.94983828,-90.03189416,4
TRAFFIC INCIDENT,1,2018,10,29.97129165,-90.08213143,1
COMPLAINT OTHER,2,2018,10,29.97144921,-90.11497769,3
HIT & RUN,1,2018,10,30.03318696,-90.0177547,7
SIMPLE BATTERY,1,2018,10,29.95643291,-90.0661736,8
MENTAL PATIENT,2,2018,10,0,0,4
MEDICAL,2,2018,10,0,0,8
TRAFFIC INCIDENT,1,2018,10,29.9725914,-90.06545877,5
DISTURBANCE (OTHER),1,2018,10,30.02673449,-90.02303189,7
THEFT,1,2018,10,29.98002706,-90.08137348,1
AUTO ACCIDENT,1,2018,10,29.96487318,-90.10929196,2
AUTO ACCIDENT,1,2018,10,30.03369448,-89.9210244,7
AUTO THEFT,0,2018,10,29.93723353,-90.07869245,6
COMPLAINT OTHER,1,2018,10,30.01417476,-90.07126928,3
COMPLAINT OTHER,1,2018,10,29.94158423,-90.08462477,6
"BURGLAR ALARM, SILENT",2,2018,10,30.03303233,-90.01100036,7
COMPLAINT OTHER,1,2018,10,29.94132428,-90.08009571,6
"BURGLAR ALARM, SILENT",2,2018,10,29.97433292,-90.11385743,3
HIT & RUN,1,2018,10,29.92143321,-90.09525946,6
AREA CHECK,1,2018,10,29.96281623,-90.0896446,1
COMPLAINT OTHER,1,2018,10,29.95716152,-90.01023756,5
